##################################################;;;;;;;;;;;;;;x,,,,,,,,
# Country Events;;;;;;;;;;;;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
##### Setup #####;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME2000000;Welcome to CoE:RoI!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC2000000;'Roar of Industry' is the newest edition of 'Concert of Europe' mod. It has initialy been based on PDM, however the whole economy (including pop promotions, etc.) has been majorly overhauled. Aside from that, the mod begins in 1821, and runs up to 1947, which gives you more room to shape the world of your own! There are of course much more changes, too many to list here, so I hope this mod will give you fresh experience!;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME2000001;Welcome to CoE!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC2000001;The Nation of the USA is currently suffering from a bug occuring when releasing Canadian states (not Canada itself) that will then result in them requesting statehood, when multiple states do this at the same time the event will only popup once allowing you to integrate only 1 of these nations, this can easily be dodged by only releasing 1 Canadian minor in every war so they can all be integrated seperatly, this might be fixed though we arent sure yet.;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME2000002;Welcome to CoE!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC2000002;Japan is currently suffering from a bug caused by the decisions after westernising, it is recommended to only take 1 of these decisions every year to make sure you get the maximal benefit from the research points granted with these decisions.;;;;;;;;;;;;;;x,,,,,,,,
##### Japan #####;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME1000000;Our Iwakura Mission Pays Off;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC1000000;Our mission has proven to be super effective giving us a technological benefit.;;;;;;;;;;;;;;x,,,,,,,,
##### Growing Consumption ####;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999999;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999999;Due to usage of water wheel power consumption in our country has started growing. My life is like water that has passed the mill; it turns no wheel. -Thomas Wolfe;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999998;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999998;Due to usage of the practical steam engine consumption in our country has started growing. Science owes more to the steam engine than the steam engine owes to science. -Lawrence Joseph Henderson;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999997;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999997;Due to improvement of our steam engines consumption in our country has started growing. I've got a soul: don't tell me I haven't. Cut me up and you can't find it. Cut up a steam engine and you can't find the steam. But, by George, it makes the engine go. -George Bernard Shaw;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999996;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999996;Due to usage of steam turbines consumption in our country has started growing. Why can't we make these things run on wind and you know.. place em in peoples backyards to annoy them. -A state-employed idiot;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999995;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999995;Due to the usage of the combustion engine consumption in our country has started growing. The substitution of the internal combustion engine for the horse marked a very gloomy milestone in the progress of mankind. -Winston Churchill;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999994;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999994;Due to usage of electrical power consumption in our country has started growing. Electricity is really just organized lightning. -George Carlin;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999993;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999993;Due to advancement in our ways of generating electricity consumption in our country has started growing. When Thomas Edison worked late into the night on the electric light, he had to do it by gas lamp or candle. I'm sure it made the work seem that much more urgent. -George Carlin;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999992;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999992;Due to our pressing industry consumption in our country has started growing. Our liberty depends on the freedom of the press, and that cannot be limited without being lost. -Thomas Jefferson;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999991;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999991;Due to mechanical production consumption in our country has started growing. I am a mechanical engineer. To save time lets just assume that I am never wrong. -Every engineer ever;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999990;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999990;Due to usage of interchangeable parts consumption in our country has started growing. Interchangeable parts don't, leakproof seals aren't, and self-starters won't.  -Anonymous;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999989;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999989;Due to our industry getting semi-automatized consumption in our country has started growing. The first rule of any technology used in a business is that automation applied to an efficient operation will magnify the efficiency. The second is that automation applied to an inefficient operation will magnify the inefficiency. -Bill Gates;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999988;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999988;Due to usage of the assembly line consumption in our country has started growing. People can have the model T in any color, so long as it's black. -Henry Ford;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999987;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999987;Due to shift working consumption in our country has started growing. I feel so energized after that 12-hour shift. -No one, ever;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999986;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999986;Due to mechanized manufacturing consumption in our country has started growing. Mechanization best serves mediocriy. -Frank Lloyd Wright;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999985;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999985;Due to electricity consumption in our country has started growing, and so has our electricity bill. If your hate could be turned into electricity, it would light up the whole world. -Nikola Tesla;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999984;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999984;Due to freedom of trade consumption in our country has started growing. You don't need a treaty to have free trade. -Murray Rothbard;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999983;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999983;Due to market structure consumption in our country has started growing. I never attempt to make money on the stock market. I buy on the assumption that they could close the market the next day and not reopen it for five years. -Warren Buffet;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999982;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999982;Due to business regulations revolution consumption in our country has started growing. If you have ten thousand regulations you destroy all respect for the law. -Winston Churchill;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999981;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999981;Due to market regulations consumption in our country has started growing. Corruption is government intrusion into market efficiencies in the form of regulations. -Milton Friedman;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999980;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999980;Due to economic responsibility consumption in our country has started growing. The price of greatness is responsibility. -Winston Churchill;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999979;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
